task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,donor_h3_B0,official,6,native_spearman,8,8,0.99819686885409842,0.99782758141757122,0.99853143229369223
reach,fresh,donor_h3_B0,official,6,spearman_loss,8,8,0.0018031311459016097,0.0014685677063078465,0.0021724185824286823
reach,fresh,donor_h3_B0,official,6,native_top10_overlap,8,8,9.5,9.125,9.875
reach,fresh,donor_h3_B0,official,6,centered_cost_change_rms,8,8,0.0082482932625628572,0.0071347222690217489,0.0094638214389359404
reach,fresh,donor_h3_B0,proprio,3,donor_reconstruction,8,8,0.07787382964306179,0.069000932537820053,0.086380110975225619
reach,fresh,donor_h3_B0,proprio,3,numerator_mse_mean,8,8,0.00095829892655379485,0.00091878464454741302,0.00099999879031226722
reach,fresh,donor_h3_B0,proprio,3,denominator_mse_mean,8,8,0.001039163217617687,0.00099802617656410703,0.0010816592828215607
reach,fresh,donor_h3_B0,proprio,3,native_spearman,8,8,0.99898182202024466,0.99885837620418005,0.99910837898198879
reach,fresh,donor_h3_B0,proprio,3,spearman_loss,8,8,0.0010181779797553414,0.00089162101801132376,0.0011416237958199599
reach,fresh,donor_h3_B0,proprio,3,native_top10_overlap,8,8,9.75,9.375,10
reach,fresh,donor_h3_B0,proprio,3,centered_cost_change_rms,8,8,0.0025906919947240262,0.002349566594911659,0.0028497523850157238
reach,fresh,donor_h3_B0,proprio,4,donor_reconstruction,8,8,0.08884025658451794,0.083477539587074462,0.094353580253382016
reach,fresh,donor_h3_B0,proprio,4,numerator_mse_mean,8,8,0.0033397344604198399,0.0031590295232284999,0.0035330290094219095
reach,fresh,donor_h3_B0,proprio,4,denominator_mse_mean,8,8,0.0036643738501509144,0.0034733609807794975,0.0038621014405316369
reach,fresh,donor_h3_B0,proprio,4,native_spearman,8,8,0.99898182202024466,0.99885837620418005,0.99910837898198879
